Title,Rating,Votes,Duration,Genre
Mufasa: The Lion King,6.6,63000,118,Adventure
Twisters,6.5,168000,122,Adventure
Gladiator II,6.5,229000,148,Adventure
Moana 2,6.6,102000,100,Adventure
Flow,7.9,74000,85,Adventure
Sonic the Hedgehog 3,6.9,59000,110,Adventure
Kraven the Hunter,5.5,55000,127,Adventure
Deadpool & Wolverine,7.6,492000,128,Adventure
Paddington in Peru,6.7,21000,106,Adventure
Dune: Part Two,8.5,625000,166,Adventure
Venom: The Last Dance,6.0,117000,110,Adventure
The Count of Monte-Cristo,7.6,34000,178,Adventure
Freaky Tales,7.2,1200,107,Adventure
Furiosa: A Mad Max Saga,7.5,285000,148,Adventure
Transformers One,7.6,51000,104,Adventure
Borderlands,4.7,48000,101,Adventure
The Return,6.2,8500,116,Adventure
Despicable Me 4,6.2,65000,94,Adventure
The Day the Earth Blew Up: A Looney Tunes Movie,7.0,4200,91,Adventure
Madame Web,4.0,101000,116,Adventure
Inside Out 2,7.5,216000,96,Adventure
The Lord of the Rings: The War of the Rohirrim,6.3,30000,134,Adventure
Bad Boys: Ride or Die,6.5,100000,115,Adventure
Red One,6.3,140000,123,Adventure
Solo Leveling: ReAwakening,8.7,12000,121,Adventure
Love Lies Bleeding,6.6,57000,104,Adventure
Damsel,6.1,110000,110,Adventure
Godzilla x Kong: The New Empire,6.0,122000,115,Adventure
Ghostbusters: Frozen Empire,6.1,93000,115,Adventure
Kingdom of the Planet of the Apes,6.9,151000,145,Adventure
Spaceman,5.7,43000,107,Adventure
Kung Fu Panda 4,6.3,68000,94,Adventure
Survive,4.5,2500,90,Adventure
Uglies,4.7,33000,100,Adventure
The Garfield Movie,5.7,24000,101,Adventure
My Penguin Friend,6.7,5200,97,Adventure
Harold and the Purple Crayon,5.7,8400,90,Adventure
Attack on Titan the Movie: The Last Attack,9.2,16000,145,Adventure
Atlas,5.6,56000,118,Adventure
Descendants: The Rise of Red,4.7,7000,91,Adventure
Monster Summer,5.7,3700,97,Adventure
Wallace & Gromit: Vengeance Most Fowl,7.5,34000,82,Adventure
Kalki 2898 AD,7.0,67000,180,Adventure
Spellbound,5.5,7400,109,Adventure
Arthur the King,7.0,34000,107,Adventure
Night of the Zoopocalypse,6.0,659000,91,Adventure
Rebel Moon - Part Two: The Scargiver,5.3,59000,122,Adventure
Hitpig,5.1,942000,86,Adventure
Thelma the Unicorn,5.7,2900,93,Adventure
Family Pack,5.5,9100,94,Adventure
The Best Christmas Pageant Ever,6.8,6100,99,Adventure
No Way Up,4.6,11000,90,Adventure
Buffalo Kids,6.6,693000,93,Adventure
Megamind vs. The Doom Syndicate,2.5,5600,83,Adventure
The Unholy Trinity,7.9,53000,93,Adventure
Orion and the Dark,6.3,17000,93,Adventure
Bookworm,6.0,1900,103,Adventure
Lost on a Mountain in Maine,6.1,1200,98,Adventure
The Goat Life,7.1,47000,173,Adventure
Winner,6.5,2500,103,Adventure
The Courier,6.0,4400,101,Adventure
Sasquatch Sunset,5.4,5400,88,Adventure
Hanu Man,7.7,29000,158,Adventure
Justice League: Crisis on Infinite Earths - Part One,6.2,8500,93,Adventure
River of Blood,5.2,1800,86,Adventure
"I, the Executioner",6.3,1700,118,Adventure
Justice League: Crisis on Infinite Earths - Part Three,6.1,4500,94,Adventure
Badland Hunters,5.9,12000,107,Adventure
The Last of Us: Immunity,5.3,19000,64,Adventure
My Hero Academia: You're Next,7.0,2200,110,Adventure
That Christmas,6.8,17000,91,Adventure
Raqa,5.6,217000,107,Adventure
Ultraman: Rising,6.9,6400,117,Adventure
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1,8500,104,Adventure
The Price of Money: A Largo Winch Adventure,5.0,1200,100,Adventure
Manjummel Boys,8.2,27000,135,Adventure
Something in the Water,4.1,4700,86,Adventure
Woody Woodpecker Goes to Camp,4.5,2600,100,Adventure
No Chains No Masters,6.4,550000,98,Adventure
The Wages of Fear,4.6,4100,104,Adventure
Saving Bikini Bottom: The Sandy Cheeks Movie,3.7,3900,82,Adventure
The Empire,5.2,1200,110,Adventure
Anaconda,4.9,637000,84,Adventure
Doraemon the Movie: Nobita's Earth Symphony,6.6,1500,115,Adventure
Cult Killer,4.8,2800,105,Adventure
Chuck Billy and the Marvelous Guava Tree,7.4,1000,90,Adventure
Dragonkeeper,5.7,1700,98,Adventure
Justice League: Crisis on Infinite Earths - Part Two,5.5,5300,94,Adventure
Eat the Night,6.1,485000,106,Adventure
200% Wolf,5.9,1300,98,Adventure
Angels Fallen: Warriors of Peace,4.9,5800,103,Adventure
Sixty Minutes,5.7,5200,88,Adventure
Saint-Exupéry,5.4,326000,98,Adventure
The Twisters,2.5,341000,86,Adventure
Escape,6.4,2000,94,Adventure
The Tiger's Apprentice,5.7,2200,84,Adventure
Golden Kamuy,6.3,2600,127,Adventure
Overlord: The Sacred Kingdom,6.9,991000,135,Adventure
Bambi: A Tale of Life in the Woods,5.7,173000,78,Adventure
Operation Blood Hunt,3.5,489000,93,Adventure
Panda Bear in Africa,5.5,347000,84,Adventure
Autumn and the Black Jaguar,5.6,1000,100,Adventure
Bade Miyan Chote Miyan,3.7,39000,163,Adventure
Gaami,6.4,2000,147,Adventure
Crayon Shin-chan: Ora's Dinosaur Diary,6.4,356000,106,Adventure
Kanguva,4.5,15000,152,Adventure
Unspeakable: Beyond the Wall of Sleep,6.1,55000,90,Adventure
A.R.M,7.1,8700,150,Adventure
A Sloth Story,5.6,206000,90,Adventure
Mountain Boy,8.3,24000,93,Adventure
Rebellious,6.0,195000,94,Adventure
Devil's Knight,5.2,896000,90,Adventure
A Legend,4.7,912000,129,Adventure
The Last Redemption,6.6,3700,122,Adventure
The Firing Squad,5.1,5000,93,Adventure
Man and Witch: The Dance of a Thousand Steps,5.5,332000,94,Adventure
Elli and the Ghostly Ghost Train,5.1,101000,86,Adventure
WWII: Operation Phoenix,6.2,77000,106,Adventure
War of the Worlds: Extinction,3.0,207000,84,Adventure
Lumina,2.1,672000,113,Adventure
Thangalaan,6.6,6600,156,Adventure
Cells at Work!,6.7,241000,109,Adventure
Noah's Ark,4.3,662000,96,Adventure
Dongeng Sang Kancil,6.7,173000,99,Adventure
Planetquake,3.0,307000,85,Adventure
Meanwhile on Earth,6.0,916000,89,Adventure
Bionic,4.3,1700,110,Adventure
Escape from the 21st Century,6.5,887000,98,Adventure
Robin and the Hoods,4.3,512000,100,Adventure
Gracie and Pedro: Pets to the Rescue,5.1,276000,87,Adventure
This Too Shall Pass,9.0,12000,105,Adventure
School of Magical Animals 3,5.8,315000,105,Adventure
All for One,1.4,660000,97,Adventure
Return to Wickensburg,5.0,30000,88,Adventure
Roadkill,3.7,685000,90,Adventure
Big City Greens the Movie: Spacecation,6.2,543000,83,Adventure
Pimpinero: Blood and Oil,5.6,551000,121,Adventure
The Keepers of the 5 Kingdoms,4.0,219000,109,Adventure
The Last Ronin,4.9,577000,115,Adventure
The Mountain,6.6,157000,89,Adventure
Warrior Awang and Master Tok Gajah,4.6,476000,118,Adventure
The Goat,5.7,186000,91,Adventure
No Time to Spy: A Loud House Movie,6.4,450000,81,Adventure
Kvitebjørn,5.9,62000,85,Adventure
I Heart Robots,4.6,2400,76,Adventure
Dalia y el Libro Rojo,6.5,91000,107,Adventure
Gladiators,5.9,45000,95,Adventure
Spiders on a Plane,5.1,373000,78,Adventure
Barroz: Guardian of Treasures,3.5,1000,155,Adventure
Rally Caps,5.5,140000,100,Adventure
Never Look Away,7.2,265000,85,Adventure
One Million Babes BC,2.1,85000,75,Adventure
Oscar Wilde About America,4.4,28000,98,Adventure
Beyond existence,4.3,21000,95,Adventure
My Freaky Family,6.3,406000,86,Adventure
My Oni Girl,6.0,1700,112,Adventure
"Maya, donne-moi un titre",6.4,54000,61,Adventure
The Kingdom,7.9,91000,133,Adventure
Marianengraben,7.4,84000,87,Adventure
Going Viral,6.9,53000,90,Adventure
Ayalaan,6.0,4000,155,Adventure
Mobile Suit Gundam SEED Freedom,6.6,953000,124,Adventure
Diplodocus,6.3,178000,90,Adventure
The Phantom Warrior,2.4,555000,119,Adventure
Guest from the Future,6.0,1200,141,Adventure
Seven Seas Seven Hills,8.7,89000,90,Adventure
Si Juki the Movie: Harta Pulau Monyet,6.0,119000,107,Adventure
Odio el verano,5.1,585000,103,Adventure
Storm Crashers,6.2,563000,88,Adventure
Road Wars: Max Fury,2.0,350000,83,Adventure
Five Friends,6.7,909000,112,Adventure
The Casagrandes Movie,5.6,667000,89,Adventure
A Trip Elsewhere,5.5,102000,93,Adventure
Earthquake Underground,3.3,196000,83,Adventure
Rocky Road to Berlin,7.2,1400,104,Adventure
STEVE (A Minecraft Movie),6.9,12000,61,Adventure
Dünya Varmis,7.2,54000,100,Adventure
Fox & Hare Save the Forest,5.9,203000,71,Adventure
Treasure Trackers,5.8,163000,92,Adventure
Ahl Al Kahf,5.3,265000,120,Adventure
Kalvan,5.6,985000,142,Adventure
Bureau 749,4.0,533000,123,Adventure
Luigi's Mansion,6.0,17000,60,Adventure
The Traveller,5.2,208000,134,Adventure
Oculus,6.0,15000,113,Adventure
Shrek 5: The Contract - A Fan Made Film,7.0,19000,84,Adventure
My Fathers' Daughter,6.7,74000,78,Adventure
The Lost Tiger,7.9,45000,90,Adventure
